0;44.5;-43.8;45.1;-46.4;-40.6;15.1;-10.8;38.0;47.2;-44.9;-44.6;44.4;0.00839499178678695
1;44.5;-43.9;45.1;-46.3;-40.7;15.1;-10.7;38.0;47.2;-44.9;-44.6;44.4;0.008394810429834261
2;44.7;-44.7;-44.5;44.8;40.9;-10.6;13.8;-46.8;-40.2;44.6;-45.0;44.6;0.008673448227952492
3;44.7;-43.9;44.4;-45.5;-41.9;14.1;-10.0;45.3;40.1;-44.8;-44.6;45.4;0.00849825911232888
4;44.7;-44.6;-45.0;45.4;39.7;-11.1;14.6;-39.4;-48.1;44.7;-43.4;44.6;0.008620388482393201
5;44.7;-44.7;-44.5;45.1;40.6;-10.7;13.9;-46.8;-40.2;44.6;-45.0;44.6;0.008673151955822089
6;44.7;-44.6;-45.0;45.2;40.1;-11.0;14.5;-39.6;-47.9;44.6;-43.5;44.6;0.008621668804461679
7;44.5;-43.8;45.0;-46.5;-40.5;15.1;-10.8;38.0;47.2;-44.9;-44.6;44.4;0.00839522790424593
8;44.7;-44.3;44.3;-43.8;-43.5;13.9;-9.8;45.4;40.2;-44.7;-44.6;45.3;0.008504312930304932
9;44.7;-44.7;-44.5;44.9;40.9;-10.6;13.8;-46.8;-40.3;44.6;-45.0;44.6;0.008673252286406719
10;44.7;-44.6;-45.0;45.4;39.8;-11.0;14.6;-39.5;-48.0;44.6;-43.5;44.6;0.008620557433086647
